Zip,state,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh)
1506,MA,NEWE,540.48
1507,MA,NEWE,540.48
1508,MA,NEWE,540.48
1509,MA,NEWE,540.48
1510,MA,NEWE,540.48
1515,MA,NEWE,540.48
1516,MA,NEWE,540.48
1517,MA,NEWE,540.48
1518,MA,NEWE,540.48
1519,MA,NEWE,540.48
1520,MA,NEWE,540.48
1521,MA,NEWE,540.48
1522,MA,NEWE,540.48
1523,MA,NEWE,540.48
1524,MA,NEWE,540.48
1525,MA,NEWE,540.48
1526,MA,NEWE,540.48
1527,MA,NEWE,540.48
1529,MA,NEWE,540.48
1531,MA,NEWE,540.48
1532,MA,NEWE,540.48
1534,MA,NEWE,540.48
1535,MA,NEWE,540.48
1536,MA,NEWE,540.48
1537,MA,NEWE,540.48
1538,MA,NEWE,540.48
1540,MA,NEWE,540.48
1541,MA,NEWE,540.48
1542,MA,NEWE,540.48
1543,MA,NEWE,540.48
1545,MA,NEWE,540.48
1546,MA,NEWE,540.48
1550,MA,NEWE,540.48
1560,MA,NEWE,540.48
1561,MA,NEWE,540.48
1562,MA,NEWE,540.48
1564,MA,NEWE,540.48
1566,MA,NEWE,540.48
1568,MA,NEWE,540.48
1569,MA,NEWE,540.48
1570,MA,NEWE,540.48
1571,MA,NEWE,540.48
1580,MA,NEWE,540.48
1581,MA,NEWE,540.48
1582,MA,NEWE,540.48
1583,MA,NEWE,540.48
1585,MA,NEWE,540.48
1586,MA,NEWE,540.48
1588,MA,NEWE,540.48
1590,MA,NEWE,540.48
1601,MA,NEWE,540.48
1602,MA,NEWE,540.48
1603,MA,NEWE,540.48
1604,MA,NEWE,540.48
1605,MA,NEWE,540.48
1606,MA,NEWE,540.48
1607,MA,NEWE,540.48
1608,MA,NEWE,540.48
1609,MA,NEWE,540.48
1610,MA,NEWE,540.48
1611,MA,NEWE,540.48
1612,MA,NEWE,540.48
1613,MA,NEWE,540.48
1614,MA,NEWE,540.48
1615,MA,NEWE,540.48
1653,MA,NEWE,540.48
1654,MA,NEWE,540.48
1655,MA,NEWE,540.48
1701,MA,NEWE,540.48
1702,MA,NEWE,540.48
1703,MA,NEWE,540.48
1704,MA,NEWE,540.48
1705,MA,NEWE,540.48
1718,MA,NEWE,540.48
1719,MA,NEWE,540.48
1720,MA,NEWE,540.48
1721,MA,NEWE,540.48
1730,MA,NEWE,540.48
1731,MA,NEWE,540.48
1740,MA,NEWE,540.48
1741,MA,NEWE,540.48
1742,MA,NEWE,540.48
1745,MA,NEWE,540.48
1746,MA,NEWE,540.48
1747,MA,NEWE,540.48
1748,MA,NEWE,540.48
1749,MA,NEWE,540.48
1752,MA,NEWE,540.48
1754,MA,NEWE,540.48
1756,MA,NEWE,540.48
1757,MA,NEWE,540.48
1760,MA,NEWE,540.48
1770,MA,NEWE,540.48
1772,MA,NEWE,540.48
1773,MA,NEWE,540.48
1775,MA,NEWE,540.48
1776,MA,NEWE,540.48
1778,MA,NEWE,540.48
1784,MA,NEWE,540.48
1801,MA,NEWE,540.48
1803,MA,NEWE,540.48
1805,MA,NEWE,540.48
1807,MA,NEWE,540.48
1810,MA,NEWE,540.48
1812,MA,NEWE,540.48
1813,MA,NEWE,540.48
1815,MA,NEWE,540.48
1821,MA,NEWE,540.48
1822,MA,NEWE,540.48
1824,MA,NEWE,540.48
1826,MA,NEWE,540.48
1827,MA,NEWE,540.48
1830,MA,NEWE,540.48
1831,MA,NEWE,540.48
1832,MA,NEWE,540.48
1833,MA,NEWE,540.48
1834,MA,NEWE,540.48
1835,MA,NEWE,540.48
1840,MA,NEWE,540.48
1841,MA,NEWE,540.48
1842,MA,NEWE,540.48
1843,MA,NEWE,540.48
1844,MA,NEWE,540.48
1845,MA,NEWE,540.48
1850,MA,NEWE,540.48
1851,MA,NEWE,540.48
1852,MA,NEWE,540.48
1853,MA,NEWE,540.48
1854,MA,NEWE,540.48
1860,MA,NEWE,540.48
1862,MA,NEWE,540.48
1863,MA,NEWE,540.48
1864,MA,NEWE,540.48
1865,MA,NEWE,540.48
1866,MA,NEWE,540.48
1867,MA,NEWE,540.48
1876,MA,NEWE,540.48
1879,MA,NEWE,540.48
1880,MA,NEWE,540.48
1885,MA,NEWE,540.48
1886,MA,NEWE,540.48
1887,MA,NEWE,540.48
1888,MA,NEWE,540.48
1889,MA,NEWE,540.48
1890,MA,NEWE,540.48
1899,MA,NEWE,540.48
1901,MA,NEWE,540.48
1902,MA,NEWE,540.48
1903,MA,NEWE,540.48
1904,MA,NEWE,540.48
1905,MA,NEWE,540.48
1906,MA,NEWE,540.48
1907,MA,NEWE,540.48
1908,MA,NEWE,540.48
1910,MA,NEWE,540.48
1913,MA,NEWE,540.48
1915,MA,NEWE,540.48
1921,MA,NEWE,540.48
1922,MA,NEWE,540.48
1923,MA,NEWE,540.48
1929,MA,NEWE,540.48
1930,MA,NEWE,540.48
1931,MA,NEWE,540.48
1936,MA,NEWE,540.48
1937,MA,NEWE,540.48
1938,MA,NEWE,540.48
1940,MA,NEWE,540.48
1944,MA,NEWE,540.48
1945,MA,NEWE,540.48
1949,MA,NEWE,540.48
1950,MA,NEWE,540.48
1951,MA,NEWE,540.48
1952,MA,NEWE,540.48
1960,MA,NEWE,540.48
1961,MA,NEWE,540.48
1965,MA,NEWE,540.48
1966,MA,NEWE,540.48
1969,MA,NEWE,540.48
1970,MA,NEWE,540.48
1971,MA,NEWE,540.48
1982,MA,NEWE,540.48
1983,MA,NEWE,540.48
1984,MA,NEWE,540.48
1985,MA,NEWE,540.48
2018,MA,NEWE,540.48
2019,MA,NEWE,540.48
2020,MA,NEWE,540.48
2021,MA,NEWE,540.48
2025,MA,NEWE,540.48
2026,MA,NEWE,540.48
2027,MA,NEWE,540.48
2030,MA,NEWE,540.48
2032,MA,NEWE,540.48
2035,MA,NEWE,540.48
2038,MA,NEWE,540.48
2040,MA,NEWE,540.48
2041,MA,NEWE,540.48
2043,MA,NEWE,540.48
2044,MA,NEWE,540.48
2045,MA,NEWE,540.48
2047,MA,NEWE,540.48
2048,MA,NEWE,540.48
2050,MA,NEWE,540.48
2051,MA,NEWE,540.48
2052,MA,NEWE,540.48
2053,MA,NEWE,540.48
2054,MA,NEWE,540.48
2055,MA,NEWE,540.48
2056,MA,NEWE,540.48
2059,MA,NEWE,540.48
2060,MA,NEWE,540.48
2061,MA,NEWE,540.48
2062,MA,NEWE,540.48
2065,MA,NEWE,540.48
2066,MA,NEWE,540.48
2067,MA,NEWE,540.48
2070,MA,NEWE,540.48
2071,MA,NEWE,540.48
2072,MA,NEWE,540.48
2081,MA,NEWE,540.48
2090,MA,NEWE,540.48
2093,MA,NEWE,540.48
2101,MA,NEWE,540.48
2108,MA,NEWE,540.48
2109,MA,NEWE,540.48
2110,MA,NEWE,540.48
2111,MA,NEWE,540.48
2112,MA,NEWE,540.48
2113,MA,NEWE,540.48
2114,MA,NEWE,540.48
2115,MA,NEWE,540.48
2116,MA,NEWE,540.48
2117,MA,NEWE,540.48
2118,MA,NEWE,540.48
2119,MA,NEWE,540.48
2120,MA,NEWE,540.48
2121,MA,NEWE,540.48
2122,MA,NEWE,540.48
2123,MA,NEWE,540.48
2124,MA,NEWE,540.48
2125,MA,NEWE,540.48
2126,MA,NEWE,540.48
2127,MA,NEWE,540.48
2128,MA,NEWE,540.48
2129,MA,NEWE,540.48
2130,MA,NEWE,540.48
2131,MA,NEWE,540.48
2132,MA,NEWE,540.48
2133,MA,NEWE,540.48
